Customer_ID,Age,Gender,Location,Monthly_Income (USD),Preferred_Flavour,Subscription_Plan,Monthly_Consumption (bottles),Satisfaction_Rating (1-5),Purchase_Intent_Next_Month
1,56,Male,Ajman,8878,Chocolate,Standard,18,4,Yes
2,46,Female,Dubai,2822,Mango,Premium,11,4,Yes
3,32,Male,Ajman,2943,Chocolate,Standard,13,1,Yes
4,25,Male,Abu Dhabi,8097,Berry,Basic,29,1,No
5,38,Male,Sharjah,8150,Mint,Basic,19,3,Yes
6,56,Male,Dubai,6425,Citrus,Standard,11,4,Yes
7,36,Male,Dubai,2774,Mint,Premium,4,5,Yes
8,40,Male,Abu Dhabi,9840,Chocolate,Premium,15,2,Yes
9,28,Male,Sharjah,4198,Citrus,Basic,8,3,No
10,28,Female,Ajman,5156,Chocolate,Premium,6,1,No
11,41,Male,Sharjah,6242,Berry,Standard,4,3,No
12,53,Male,Abu Dhabi,5695,Mango,Standard,7,3,No
13,57,Female,Abu Dhabi,5452,Citrus,Basic,11,3,No
14,41,Female,Sharjah,2914,Berry,Standard,6,3,No
15,20,Female,Ajman,7667,Berry,Basic,13,2,No
16,39,Male,Ajman,3308,Citrus,Standard,5,4,No
17,19,Female,Dubai,8843,Chocolate,Basic,14,5,No
18,41,Male,Ajman,6177,Berry,Premium,28,3,No
19,47,Male,Sharjah,2513,Mint,Standard,13,3,No
20,55,Male,Abu Dhabi,3920,Berry,Standard,24,3,No
21,19,Male,Dubai,8958,Chocolate,Basic,17,4,No
22,38,Female,Dubai,8852,Chocolate,Basic,10,1,No
23,50,Female,Abu Dhabi,8035,Mint,Standard,5,1,No
24,29,Male,Ajman,5594,Berry,Basic,12,2,No
25,39,Male,Abu Dhabi,6841,Chocolate,Standard,19,1,Yes
26,42,Male,Ajman,9166,Citrus,Premium,16,3,No
27,44,Female,Abu Dhabi,3409,Mango,Basic,12,3,Yes
28,59,Male,Sharjah,6802,Mango,Standard,23,3,No
29,45,Male,Ajman,6566,Mango,Premium,7,2,No
30,33,Female,Sharjah,5190,Berry,Premium,25,3,Yes
31,32,Female,Dubai,6491,Mint,Standard,13,1,No
32,20,Male,Abu Dhabi,3555,Chocolate,Basic,29,4,Yes
33,54,Female,Dubai,8404,Citrus,Standard,29,4,Yes
34,24,Female,Dubai,2804,Citrus,Premium,25,5,Yes
35,38,Male,Dubai,7029,Berry,Standard,15,1,No
36,26,Female,Dubai,3279,Mango,Basic,20,3,No
37,56,Male,Abu Dhabi,7853,Berry,Premium,17,4,No
38,35,Female,Dubai,7000,Mint,Standard,17,1,Yes
39,21,Male,Abu Dhabi,9393,Mint,Basic,28,4,Yes
40,42,Male,Abu Dhabi,7172,Chocolate,Premium,5,3,No
41,31,Male,Sharjah,9083,Chocolate,Basic,24,4,No
42,26,Female,Ajman,7986,Mint,Premium,28,5,No
43,43,Male,Ajman,7619,Mint,Standard,23,5,No
44,19,Female,Abu Dhabi,5577,Mint,Basic,14,4,No
45,37,Male,Sharjah,4901,Berry,Premium,19,1,Yes
46,45,Male,Abu Dhabi,3387,Mint,Basic,22,1,Yes
47,24,Female,Abu Dhabi,7399,Citrus,Basic,26,1,Yes
48,25,Male,Abu Dhabi,6688,Mango,Standard,9,4,No
49,52,Male,Sharjah,4761,Mint,Basic,27,1,Yes
50,31,Female,Ajman,9325,Mango,Premium,22,3,Yes
51,34,Male,Sharjah,4679,Berry,Premium,8,5,Yes
52,53,Male,Dubai,4106,Mango,Premium,29,3,Yes
53,57,Male,Sharjah,9894,Berry,Premium,7,1,Yes
54,21,Male,Sharjah,6223,Citrus,Standard,18,3,No
55,19,Female,Sharjah,6831,Berry,Basic,7,1,Yes
56,23,Female,Sharjah,4768,Berry,Standard,23,4,No
57,59,Male,Ajman,5953,Chocolate,Basic,13,3,No
58,21,Female,Dubai,5186,Mint,Basic,27,4,No
59,46,Male,Ajman,5280,Mint,Basic,25,4,No
60,35,Female,Ajman,4573,Citrus,Standard,6,2,No
61,43,Male,Sharjah,6616,Citrus,Basic,29,1,Yes
62,51,Male,Abu Dhabi,4599,Mint,Standard,8,5,Yes
63,27,Male,Abu Dhabi,6033,Chocolate,Premium,9,1,No
64,53,Male,Ajman,2236,Mint,Premium,24,5,No
65,31,Male,Ajman,3304,Chocolate,Basic,25,1,No
66,48,Male,Sharjah,5430,Citrus,Standard,11,4,Yes
67,32,Female,Ajman,9368,Mango,Premium,10,3,No
68,25,Male,Sharjah,7877,Citrus,Standard,24,3,Yes
69,31,Female,Abu Dhabi,3301,Citrus,Standard,13,2,No
70,40,Male,Abu Dhabi,9402,Berry,Basic,9,5,Yes
71,57,Female,Dubai,4541,Berry,Premium,17,5,No
72,38,Female,Abu Dhabi,4051,Berry,Basic,7,5,Yes
73,33,Female,Ajman,8809,Berry,Basic,28,4,No
74,35,Male,Abu Dhabi,2441,Chocolate,Premium,16,5,Yes
75,41,Male,Sharjah,4076,Mint,Premium,23,3,Yes
76,43,Female,Abu Dhabi,5180,Mango,Standard,20,4,Yes
77,42,Male,Dubai,4657,Citrus,Premium,26,1,Yes
78,58,Female,Abu Dhabi,5798,Chocolate,Standard,10,5,Yes
79,46,Male,Sharjah,2804,Mango,Standard,7,5,Yes
80,32,Female,Sharjah,2074,Chocolate,Standard,17,1,Yes
81,18,Female,Ajman,8981,Chocolate,Premium,6,5,No
82,42,Male,Abu Dhabi,9313,Citrus,Basic,27,1,No
83,24,Female,Sharjah,4175,Mint,Standard,8,4,No
84,26,Male,Dubai,5924,Berry,Basic,19,3,No
85,41,Female,Ajman,4089,Mint,Basic,29,1,No
86,18,Female,Dubai,7475,Citrus,Premium,26,2,Yes
87,25,Male,Abu Dhabi,2040,Citrus,Basic,23,1,Yes
88,41,Male,Abu Dhabi,9077,Citrus,Basic,7,5,Yes
89,28,Male,Abu Dhabi,4081,Mango,Premium,27,4,Yes
90,34,Female,Ajman,9184,Mint,Standard,27,4,Yes
91,25,Male,Sharjah,7796,Mint,Basic,5,1,No
92,52,Female,Ajman,9320,Chocolate,Premium,21,3,No
93,52,Female,Dubai,9141,Chocolate,Basic,22,2,No
94,50,Male,Ajman,7497,Chocolate,Basic,22,4,No
95,22,Male,Dubai,6683,Citrus,Standard,20,5,Yes
96,59,Female,Ajman,3622,Mint,Basic,17,5,Yes
97,56,Female,Sharjah,9796,Citrus,Premium,22,3,Yes
98,58,Male,Dubai,2341,Mango,Basic,25,4,No
99,45,Male,Abu Dhabi,6052,Chocolate,Standard,27,1,Yes
100,24,Male,Abu Dhabi,4074,Citrus,Standard,16,5,No
101,26,Male,Ajman,9992,Citrus,Premium,15,3,Yes
102,25,Male,Abu Dhabi,9454,Mango,Standard,29,4,Yes
103,29,Female,Dubai,2645,Berry,Basic,9,4,No
104,51,Female,Abu Dhabi,6826,Mint,Standard,24,4,Yes
105,50,Female,Sharjah,6263,Berry,Premium,7,4,Yes
106,40,Female,Sharjah,2609,Chocolate,Standard,22,4,No
107,41,Male,Ajman,8411,Citrus,Standard,19,5,Yes
108,54,Male,Dubai,7868,Mango,Standard,16,3,No
109,52,Male,Sharjah,8136,Mango,Premium,7,4,Yes
110,57,Female,Sharjah,8964,Mint,Standard,26,2,Yes
111,39,Female,Dubai,2454,Berry,Standard,20,2,Yes
112,44,Male,Abu Dhabi,4953,Mint,Basic,26,3,Yes
113,52,Male,Abu Dhabi,3708,Citrus,Premium,4,1,Yes
114,18,Female,Ajman,5472,Mint,Standard,21,1,Yes
115,52,Female,Abu Dhabi,4969,Mango,Premium,23,1,Yes
116,54,Male,Dubai,5028,Mango,Standard,20,2,Yes
117,31,Male,Sharjah,9643,Chocolate,Standard,18,1,No
118,20,Female,Abu Dhabi,6797,Chocolate,Standard,14,5,No
119,18,Male,Ajman,4681,Citrus,Basic,28,4,Yes
120,22,Male,Abu Dhabi,5629,Berry,Basic,25,2,Yes
121,43,Male,Dubai,7695,Mint,Basic,16,3,No
